ZIP,Fuel,Vehicles,LAT,LNG
91394,Battery Electric,9,,
91395,Battery Electric,1,,
91396,Battery Electric,1,,
91401,Battery Electric,1369,34.178483,-118.431791
91402,Battery Electric,705,34.222506,-118.444689
91403,Battery Electric,1649,34.147149,-118.463365
91405,Battery Electric,1099,34.199824,-118.447609
91406,Battery Electric,1261,34.195685,-118.490752
91408,Battery Electric,1,,
91409,Battery Electric,9,,
91411,Battery Electric,636,34.178522,-118.459234
91412,Battery Electric,1,,
91413,Battery Electric,13,,
91416,Battery Electric,8,,
91423,Battery Electric,1804,34.148617,-118.433298
91426,Battery Electric,17,,
91436,Battery Electric,1955,34.149588,-118.489708
91501,Battery Electric,839,34.2044,-118.287527
91502,Battery Electric,297,34.176817,-118.309323
91503,Battery Electric,2,,
91504,Battery Electric,1047,34.204568,-118.326365
91505,Battery Electric,1066,34.173885,-118.346937
91506,Battery Electric,673,34.169706,-118.323548
91507,Battery Electric,1,,
91508,Battery Electric,2,,
91510,Battery Electric,9,,
91521,Battery Electric,3,,
91601,Battery Electric,1022,34.1692,-118.372498
91602,Battery Electric,952,34.150818,-118.368159
91603,Battery Electric,6,,
91604,Battery Electric,2150,34.140822,-118.392864
91605,Battery Electric,1002,34.207341,-118.400973
91606,Battery Electric,901,34.185767,-118.388323
91607,Battery Electric,1179,34.165783,-118.399795
91608,Battery Electric,2,34.138761,-118.350933
91609,Battery Electric,3,,
91610,Battery Electric,2,,
91614,Battery Electric,2,,
91615,Battery Electric,3,,
91616,Battery Electric,1,,
91662,Battery Electric,1,,
91701,Battery Electric,1046,34.137564,-117.599945
91702,Battery Electric,1072,34.280333,-117.866141
91705,Battery Electric,1,,
91706,Battery Electric,1012,34.09741,-117.968269
91708,Battery Electric,1229,33.952902,-117.639325
91709,Battery Electric,4992,33.963723,-117.738596
91710,Battery Electric,2320,34.004468,-117.684697
91711,Battery Electric,1355,34.128066,-117.714773
91715,Battery Electric,10,,
91720,Battery Electric,1,,
91722,Battery Electric,572,34.097345,-117.906736
91723,Battery Electric,366,34.084747,-117.886844
91724,Battery Electric,672,34.080444,-117.854734
91729,Battery Electric,14,,
91730,Battery Electric,1541,34.10097,-117.57882
91731,Battery Electric,489,34.078573,-118.043456
91732,Battery Electric,916,34.07342,-118.015345
91733,Battery Electric,581,34.046243,-118.053748
91734,Battery Electric,4,,
91737,Battery Electric,911,34.152583,-117.577707
91739,Battery Electric,2100,34.172754,-117.521243
91740,Battery Electric,584,34.119367,-117.855054
91741,Battery Electric,961,34.156529,-117.841605
91743,Battery Electric,2,,
91744,Battery Electric,943,34.031415,-117.93647
91745,Battery Electric,2040,33.999005,-117.972146
91746,Battery Electric,361,34.044416,-117.985366
91747,Battery Electric,2,,
91748,Battery Electric,2035,33.974883,-117.900676
91750,Battery Electric,936,34.18001,-117.773939
91752,Battery Electric,972,33.996484,-117.531269
91754,Battery Electric,1232,34.052922,-118.143465
91755,Battery Electric,888,34.050965,-118.114394
91759,Battery Electric,8,34.263636,-117.69947
91761,Battery Electric,1893,34.035602,-117.591528
91762,Battery Electric,1380,34.05941,-117.674011
91763,Battery Electric,517,34.072329,-117.698315
91764,Battery Electric,601,34.074087,-117.605618
91765,Battery Electric,3089,33.98627,-117.821282
91766,Battery Electric,1035,34.042286,-117.756106
91767,Battery Electric,586,34.083086,-117.737997
91768,Battery Electric,316,34.063516,-117.790379
91769,Battery Electric,6,,
91770,Battery Electric,1823,34.065493,-118.084529
91773,Battery Electric,1061,34.110186,-117.81039
91775,Battery Electric,1057,34.115273,-118.088266
91776,Battery Electric,1127,34.090776,-118.095091
91778,Battery Electric,4,,
91780,Battery Electric,1591,34.102077,-118.057754
91784,Battery Electric,1282,34.141146,-117.655583
91785,Battery Electric,1,,
91786,Battery Electric,842,34.105282,-117.662035
91788,Battery Electric,15,,
91789,Battery Electric,2972,34.018195,-117.854821
91790,Battery Electric,1045,34.066964,-117.937007
91791,Battery Electric,1247,34.061624,-117.892235
91792,Battery Electric,720,34.022581,-117.902359
91793,Battery Electric,4,,
91801,Battery Electric,1363,34.090728,-118.127527
91802,Battery Electric,25,,
91803,Battery Electric,817,34.074736,-118.145959
91804,Battery Electric,1,,
91901,Battery Electric,336,32.808563,-116.710076
91902,Battery Electric,535,32.665762,-117.018657
91903,Battery Electric,4,,
91905,Battery Electric,9,32.67807,-116.306851
91906,Battery Electric,39,32.654821,-116.465541
91909,Battery Electric,2,,
91910,Battery Electric,1172,32.637868,-117.058031
91911,Battery Electric,836,32.608185,-117.054512
91912,Battery Electric,8,,
91913,Battery Electric,2353,32.619459,-116.98582
91914,Battery Electric,861,32.674004,-116.943932
91915,Battery Electric,1401,32.623185,-116.949053
91916,Battery Electric,28,32.887989,-116.621354
91917,Battery Electric,15,32.608865,-116.71966
91921,Battery Electric,17,,
91931,Battery Electric,4,32.846363,-116.557729
91932,Battery Electric,217,32.573755,-117.120872
91934,Battery Electric,9,32.648992,-116.152565
91935,Battery Electric,299,32.721919,-116.788204
91941,Battery Electric,973,32.759333,-116.997247
91942,Battery Electric,701,32.777999,-117.021511
91943,Battery Electric,1,,
91944,Battery Electric,14,,
91945,Battery Electric,358,32.733168,-117.034176
91948,Battery Electric,1,32.866646,-116.448325
91949,Battery Electric,1,,
91950,Battery Electric,403,32.670646,-117.094668
91951,Battery Electric,3,,
91962,Battery Electric,43,32.735124,-116.415161
91963,Battery Electric,7,32.626231,-116.61002
91976,Battery Electric,1,,
91977,Battery Electric,829,32.726237,-116.994318
91978,Battery Electric,251,32.724154,-116.940093
91979,Battery Electric,1,,
91980,Battery Electric,4,32.588866,-116.619172
92002,Battery Electric,1,,
92003,Battery Electric,220,33.285274,-117.197777
92004,Battery Electric,35,33.142077,-116.106046
92007,Battery Electric,543,33.02325,-117.274923
92008,Battery Electric,1104,33.147294,-117.322181
92009,Battery Electric,2888,33.09547,-117.243882
92010,Battery Electric,948,33.1585,-117.277163
92011,Battery Electric,1445,33.107582,-117.292182
92013,Battery Electric,12,,
92014,Battery Electric,1269,32.963199,-117.250309
92018,Battery Electric,18,,
92019,Battery Electric,1081,32.776012,-116.880634
92020,Battery Electric,901,32.795508,-116.969747
92021,Battery Electric,704,32.838798,-116.869956
92022,Battery Electric,4,,
92023,Battery Electric,14,,
92024,Battery Electric,2973,33.056022,-117.2599
92025,Battery Electric,927,33.102005,-117.080419
92026,Battery Electric,1328,33.212444,-117.116098
92027,Battery Electric,949,33.131156,-116.976997
92028,Battery Electric,1370,33.390477,-117.209427
92029,Battery Electric,1023,33.0824,-117.127641
92030,Battery Electric,8,,
92033,Battery Electric,2,,
92036,Battery Electric,58,33.022474,-116.493688
92037,Battery Electric,2723,32.856347,-117.250058
92038,Battery Electric,18,,
92039,Battery Electric,5,,
92040,Battery Electric,530,32.908915,-116.891975
92046,Battery Electric,10,,
92049,Battery Electric,4,,
92051,Battery Electric,1,,
92052,Battery Electric,8,,
92054,Battery Electric,698,33.195534,-117.354538
92055,Battery Electric,5,33.387723,-117.444758
92056,Battery Electric,1377,33.201242,-117.296984
92057,Battery Electric,1359,33.254619,-117.283341
92058,Battery Electric,501,33.343438,-117.31725
92059,Battery Electric,24,33.376467,-117.066121
92060,Battery Electric,6,33.346808,-116.853215
92061,Battery Electric,52,33.298504,-116.924783
92064,Battery Electric,2340,32.983606,-117.019035
92065,Battery Electric,668,33.053006,-116.850651
92066,Battery Electric,3,33.219365,-116.535247
92067,Battery Electric,1286,33.020908,-117.190346
92068,Battery Electric,4,,
92069,Battery Electric,1268,33.170775,-117.158676
92070,Battery Electric,11,33.14709,-116.717453
92071,Battery Electric,1186,32.852358,-116.987842
92072,Battery Electric,2,,
92074,Battery Electric,7,,
92075,Battery Electric,820,32.997248,-117.26058
92078,Battery Electric,2388,33.117154,-117.180627
92079,Battery Electric,5,,
92081,Battery Electric,798,33.164374,-117.24027
92082,Battery Electric,585,33.253548,-117.003366
92083,Battery Electric,470,33.19784,-117.248203
92084,Battery Electric,869,33.219935,-117.202606
92085,Battery Electric,2,,
92086,Battery Electric,14,33.323221,-116.66593
92088,Battery Electric,8,,
92091,Battery Electric,193,33.015927,-117.243517
92092,Battery Electric,40,,
92093,Battery Electric,49,,
92101,Battery Electric,3132,32.724103,-117.170912
92102,Battery Electric,422,32.71622,-117.117057
92103,Battery Electric,1457,32.747415,-117.166883
92104,Battery Electric,1706,32.741501,-117.127948
92105,Battery Electric,769,32.737827,-117.092673
92106,Battery Electric,795,32.710818,-117.237613
92107,Battery Electric,704,32.739055,-117.245404
92108,Battery Electric,1029,32.774046,-117.142454
92109,Battery Electric,1244,32.786772,-117.234207
92110,Battery Electric,687,32.765244,-117.200391
92111,Battery Electric,1147,32.806476,-117.168879
92112,Battery Electric,9,,
92113,Battery Electric,238,32.696716,-117.117881
92114,Battery Electric,783,32.707756,-117.055095
92115,Battery Electric,989,32.764998,-117.073641
92116,Battery Electric,913,32.764971,-117.123145
92117,Battery Electric,1472,32.824572,-117.199518
92118,Battery Electric,712,32.699234,-117.209642
92119,Battery Electric,626,32.817888,-117.031956
92120,Battery Electric,1096,32.794714,-117.071764
92121,Battery Electric,450,32.899592,-117.201203
92122,Battery Electric,1701,32.861727,-117.171224
92123,Battery Electric,1026,32.806794,-117.13493
92124,Battery Electric,954,32.823766,-117.092378
92126,Battery Electric,2770,32.908449,-117.14138
92127,Battery Electric,4502,33.011833,-117.132686
92128,Battery Electric,2329,32.999818,-117.071808
92129,Battery Electric,3147,32.96692,-117.126158
92130,Battery Electric,5937,32.945791,-117.214366
92131,Battery Electric,2672,32.88607,-117.085982
92134,Battery Electric,2,32.724223,-117.146587
92136,Battery Electric,4,,
92137,Battery Electric,3,,
92138,Battery Electric,9,,
92139,Battery Electric,400,32.679888,-117.04889
92142,Battery Electric,2,,
92143,Battery Electric,4,,
92145,Battery Electric,4,32.930554,-117.008063
92149,Battery Electric,1,,
92150,Battery Electric,14,,
92153,Battery Electric,3,,
92154,Battery Electric,1153,32.557022,-117.006214
92159,Battery Electric,1,,
92160,Battery Electric,5,,
92163,Battery Electric,11,,
92165,Battery Electric,2,,
92166,Battery Electric,8,,
92167,Battery Electric,5,,
92168,Battery Electric,5,,
92169,Battery Electric,8,,
92170,Battery Electric,1,,
92172,Battery Electric,12,,
92173,Battery Electric,201,32.553021,-117.042454
92176,Battery Electric,7,,
92177,Battery Electric,3,,
92178,Battery Electric,7,,
92182,Battery Electric,1,,
92186,Battery Electric,1,,
92191,Battery Electric,3,,
92192,Battery Electric,14,,
92193,Battery Electric,3,,
92195,Battery Electric,5,,
92196,Battery Electric,6,,
92198,Battery Electric,8,,
92199,Battery Electric,1,,
92201,Battery Electric,435,33.710984,-116.204844
92202,Battery Electric,3,,
92203,Battery Electric,697,33.753959,-116.246487
92210,Battery Electric,261,33.692217,-116.341248
92211,Battery Electric,805,33.765401,-116.334205
92220,Battery Electric,318,33.948948,-116.832362
92223,Battery Electric,1388,33.948255,-116.987839
92225,Battery Electric,44,33.736458,-114.687973
92226,Battery Electric,2,,
92227,Battery Electric,78,32.990121,-115.358757
92230,Battery Electric,10,33.910412,-116.765723
92231,Battery Electric,163,32.687552,-115.541028
92232,Battery Electric,4,,
92233,Battery Electric,3,33.172881,-115.553769
92234,Battery Electric,774,33.818256,-116.466743
92235,Battery Electric,6,,
92236,Battery Electric,132,33.686145,-116.172918
92239,Battery Electric,1,33.762149,-115.4661
92240,Battery Electric,257,33.95154,-116.520104
92241,Battery Electric,52,33.842584,-116.2929
92242,Battery Electric,2,34.163216,-114.319121
92243,Battery Electric,217,32.770197,-115.59859
92244,Battery Electric,6,,
92247,Battery Electric,7,,
92248,Battery Electric,9,,
92249,Battery Electric,26,32.725583,-115.47268
92250,Battery Electric,15,32.777241,-115.127641
92251,Battery Electric,166,32.881449,-115.675459
92252,Battery Electric,75,34.168333,-116.288431
92253,Battery Electric,999,33.641767,-116.273943
92254,Battery Electric,23,33.543835,-115.993906
92255,Battery Electric,6,,
92256,Battery Electric,33,34.077059,-116.606626
92257,Battery Electric,4,33.294274,-115.296227
92258,Battery Electric,6,33.915839,-116.559873
92260,Battery Electric,698,33.708012,-116.403627
92261,Battery Electric,6,,
92262,Battery Electric,1051,33.860925,-116.566176
92263,Battery Electric,18,,
92264,Battery Electric,805,33.708592,-116.497622
92268,Battery Electric,11,34.222079,-116.564222
92270,Battery Electric,1145,33.768584,-116.429988
92273,Battery Electric,1,32.817225,-115.700076
92274,Battery Electric,34,33.460512,-116.084589
92275,Battery Electric,3,33.292095,-115.844166
92276,Battery Electric,83,33.82233,-116.364238
92277,Battery Electric,110,34.141358,-115.621168
92278,Battery Electric,1,34.229973,-116.055053
92282,Battery Electric,14,33.983697,-116.691398
92283,Battery Electric,2,32.891546,-114.772943
92284,Battery Electric,208,34.185894,-116.432416
92285,Battery Electric,11,34.340222,-116.540435
92286,Battery Electric,5,,
92301,Battery Electric,191,34.585234,-117.453724
92305,Battery Electric,2,34.141671,-116.817981
92307,Battery Electric,391,34.571218,-117.133073
92308,Battery Electric,374,34.424366,-117.161295
92310,Battery Electric,44,35.26146,-116.690324
92311,Battery Electric,110,34.980294,-116.964449
92312,Battery Electric,2,,
92313,Battery Electric,160,34.031011,-117.312929
92314,Battery Electric,57,34.261092,-116.809496
92315,Battery Electric,50,34.232796,-116.902863
92316,Battery Electric,160,34.059306,-117.390768
92317,Battery Electric,40,,
92318,Battery Electric,1,,
92320,Battery Electric,228,33.990372,-117.052255
92321,Battery Electric,7,34.253816,-117.150891
92322,Battery Electric,7,34.254361,-117.326453
92324,Battery Electric,439,34.02452,-117.289255
92325,Battery Electric,75,34.243482,-117.281304
92329,Battery Electric,12,,
92331,Battery Electric,17,,
