Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation,County
38.823058,-123.063891,201,4,,Sonoma County
34.0178788,-117.59212,6387,73,259,San Bernardino County
37.750502,-121.749055,1415,13,191,Alameda County
34.713656,-117.86466,518,9,765,Los Angeles County
32.557022,-117.006214,5944,68,100,San Diego County
38.6724297,-121.1558851,7925,90,99,Sacramento County
34.408548,-118.123592,526,9,1185,Los Angeles
35.585018,-121.041461,173,3,98,San Luis Obispo
36.52587,-121.396735,53,1,122,Monterey
32.983606,-117.019035,4673,70,205,San Diego County
38.325248,-120.955787,63,1,101,Amador
34.200834,-118.6649,11832,185,444,Los Angeles County
36.751519,-119.680602,2010,22,103,Fresno County
38.525733,-122.690443,2304,36,473,Sonoma County
34.530199,-119.310133,633,10,1306,Ventura County
38.922131,-122.789559,73,2,673,Lake County
33.57093,-117.773042,14536,228,171,Orange County
33.768584,-116.429988,2700,7,78,Riverside County
35.250048,-120.6252368,1528,22,86,San Luis Obispo County
34.168333,-116.288431,75,2,780,San Bernardino County
33.736458,-114.687973,44,1,161,Riverside
36.178091,-119.370752,337,4,79,Tulare County
38.922812,-121.312005,1611,26,44,Placer County
37.5496813,-122.0896594,6740,83,-2,Alameda County
40.751937,-122.230678,319,5,420,Shasta County
34.604105,-118.239213,1340,21,910,Los Angeles County
40.103236,-122.074735,16,1,87,Tehama
39.891624,-121.841982,384,6,249,Tehama
35.118772,-118.493811,318,1,1269,Kern County
34.003266,-117.442004,3783,58,283,Riverside County
34.533222,-119.791731,1670,27,629,Santa Barbara County
34.177083,-117.254763,1634,24,540,San Bernardino County
38.398815,-122.861923,1734,26,75,Sonoma County
34.066117,-118.846342,2874,45,279,Los Angeles County
34.2736056,-118.555041,13291,183,425,Los Angeles County
37.036461,-122.12175,1946,31,458,Santa Cruz County
33.219935,-117.202606,6312,93,220,San Diego County
37.492115,-118.390408,108,2,1345,Mono
36.415603,-121.637651,310,5,618,Monterey County
38.051726,-121.483036,768,12,-6,San Joaquin
34.123305,-118.671025,10897,142,459,Los Angeles County
35.463544,-120.692911,822,3,359,San Luis Obispo County
38.4423572,-122.6745352,583,10,72,Sonoma County
33.6687456,-117.7332496,31449,458,98,Orange County
34.322618,-118.23757,2574,41,1312,Los Angeles
35.192404,-119.175866,1215,19,88,Kern County
33.547613,-117.34404,1597,25,631,Riverside County
40.959368,-124.051236,222,4,108,Humboldt County
37.899936,-121.999244,10159,145,84,Contra Costa County
33.580016,-117.14736,5601,83,389,Riverside County
36.197785,-120.422249,55,1,264,Fresno County
35.16374,-117.886527,79,2,756,Kern County
34.156529,-117.841605,5152,76,413,Los Angeles County
34.02452,-117.289255,3382,45,566,San Bernardino County
37.922228,-121.668359,4132,65,17,Contra Costa County
36.984885,-119.873914,440,7,114,Madera County
34.384697,-118.647244,4966,78,418,Los Angeles
37.335987,-121.777603,8846,135,115,Santa Clara County
41.028176,-121.308316,6,1,1011,Lassen County
39.492842,-123.340973,98,2,740,Mendocino
38.576618,-122.444388,387,7,514,Napa County
34.004468,-117.684697,11473,169,215,San Bernardino County
34.980294,-116.964449,110,2,803,San Bernardino
33.053006,-116.850651,668,7,445,San Diego County
38.2441635,-122.299168,1389,22,15,Napa County
38.098071,-122.13594,2227,35,108,Solano County
38.114388,-121.144658,359,6,26,San Joaquin County
38.918887,-123.605684,39,1,270,Mendocino
34.44137,-119.514092,397,7,477,Santa Barbara County
37.284529,-121.658321,4009,63,578,Santa Clara County
34.2371417,-116.840455,70,2,2100,San Bernardino County
35.037198,-120.504593,706,12,113,San Luis Obispo County
37.504514,-122.032916,17221,203,-3,Alameda County
34.894366,-114.640335,12,1,158,San Bernardino County
34.230854,-118.365856,14834,227,262,Los Angeles County
37.4300692,-122.2989649,6613,104,529,San Mateo County
34.74739,-118.369249,1106,18,836,Los Angeles
40.336387,-122.448511,93,2,220,Tehama County
38.4282508,-119.9915528,56,1,2164,Alpine County
38.4220022,-121.4454761,5457,69,9,Sacramento County
37.792682,-121.86059,9944,156,210,Contra Costa County
39.266469,-121.978604,20,1,18,Colusa County
38.478832,-120.611993,57,1,915,Amador County
33.390477,-117.209427,1370,22,270,San Diego County
37.186141,-121.843555,13805,212,268,Santa Clara County
33.170775,-117.158676,6651,80,202,San Diego County
40.168801,-123.826148,8,1,445,Humboldt County
33.641767,-116.273943,1260,12,1,Riverside County
36.391777,-119.372842,700,11,95,Tulare
32.735124,-116.415161,43,1,1068,San Diego County
39.491654,-122.26208,33,1,48,Glenn
38.408571,-122.022775,817,13,196,Solano County
38.7311645,-121.3653103,5158,81,38,Placer County
39.040305,-121.560484,617,6,15,Yuba County
34.424366,-117.161295,374,6,1027,San Bernardino County
38.112166,-122.634384,854,14,67,Marin County
37.2946801,-122.0816201,28728,441,199,Santa Clara County
33.547238,-117.623761,21154,331,169,Orange County
37.613574,-122.4863381,17166,255,130,San Mateo County
34.123286,-118.758541,5440,81,321,Los Angeles County
39.196387,-120.972289,246,4,854,Nevada County
34.2091699,-118.2094393,12320,188,556,Los Angeles County
32.619459,-116.98582,8912,95,148,San Diego County
37.733742,-120.9354079,1421,23,43,Stanislaus County
37.0067,-121.878207,1522,24,200,Santa Cruz County
37.918854,-121.417427,502,8,-2,San Joaquin County
38.698614,-121.699262,599,1,9,Yolo
34.8159974,-119.1020501,57,1,1730,Kern County
33.253548,-117.003366,585,7,557,San Diego County
34.571218,-117.133073,391,7,1218,San Bernardino County
34.585234,-117.453724,191,3,875,San Bernardino County
36.29227,-119.829463,212,3,63,Kings County
33.648169,-116.895308,531,9,789,Riverside
37.357489,-122.144437,20991,324,181,Santa Clara County
32.637868,-117.058031,7138,83,60,San Diego County
36.918079,-120.185933,246,4,,Madera County
33.840451,-117.601961,7047,102,,Riverside County
37.864258,-120.004543,73,2,,Tuolumne
33.142077,-116.106046,35,1,,San Diego County
34.402509,-118.363427,3223,51,,Los Angeles
32.808563,-116.710076,336,6,,San Diego County
38.333133,-121.920151,1141,18,,Solano County
37.321233,-120.654395,288,5,,Merced County
32.741212,-117.22919,8731,114,,San Diego County
34.1499864,-118.00202,11893,171,,Los Angeles County
34.212433,-117.381239,1109,6,,San Bernardino County
38.049939,-121.23297,958,3,,San Joaquin County
36.448672,-121.849502,667,11,,Monterey
33.6474401,-117.687623,23801,330,,Orange County
34.653533,-120.007153,166,3,,Santa Barbara County
34.1899742,-119.2327807,1978,31,,Ventura County
37.469453,-122.411841,2482,35,,San Mateo County
32.990121,-115.358757,78,2,,Imperial County
33.972782,-118.022066,11216,155,,Los Angeles County
34.545587,-118.420095,701,11,,Los Angeles County
33.708592,-116.497622,805,13,,Riverside County
37.787236,-120.759202,308,5,,Stanislaus County
34.4350031,-119.6105419,1425,15,,Santa Barbara County
35.621087,-118.789677,260,5,838,Kern
34.402343,-119.094824,320,5,381,Ventura
32.8521688,-117.2571827,7590,91,26,San Diego County
34.05941,-117.674011,11811,169,294,San Bernardino County
34.136077,-118.888919,6407,101,371,Ventura County
37.8233204,-122.2071845,16877,256,310,Alameda County
33.746707,-117.172142,1508,24,444,Riverside County
34.595669,-120.352667,444,7,222,Santa Barbara
34.923013,-120.259463,227,4,554,Santa Barbara County
38.421934,-123.063911,189,3,150,Sonoma County
38.493179,-122.777546,2192,33,37,Sonoma County
39.215586,-121.20324,167,3,416,Nevada County
40.601778,-122.454973,338,6,228,Shasta County
33.117154,-117.180627,8365,105,277,San Diego County
34.376159,-117.294397,487,8,1015,San Bernardino County
36.295014,-119.026031,105,2,429,Tulare
36.814503,-120.57524,33,1,68,Fresno
34.032301,-117.010574,2454,39,1080,San Bernardino County
34.106896,-119.099535,683,11,5,Ventura County
37.7753584,-122.145787,12968,191,122,Alameda County
38.134068,-122.52719,1527,24,-1,Marin
33.343438,-117.31725,501,8,67,San Diego County
38.468829,-122.580724,929,15,529,Sonoma County
32.908915,-116.891975,1234,20,474,San Diego County
36.769389,-121.667532,759,6,27,Monterey County
38.148862,-121.737696,205,4,47,Solano
39.223939,-121.49405,183,3,24,Yuba County
33.606695,-117.60436,12089,178,289,Orange County
33.9443513,-118.4062065,37354,568,39,Los Angeles County
38.568866,-122.079781,166,3,276,Yolo
33.9318178,-117.5999665,6526,93,176,Riverside County
34.1021355,-118.0749348,20487,288,113,Los Angeles County
34.2064242,-118.8844286,8956,118,237,Ventura County
38.192498,-121.927529,463,8,2,Solano County
37.605905,-122.126873,8864,138,-3,Alameda County
36.817791,-119.457602,258,5,235,Fresno
38.137068,-121.384546,539,6,4,San Joaquin County
34.447894,-117.623946,216,4,1210,San Bernardino County
34.08746,-118.544232,18952,289,476,Los Angeles County
33.8574579,-118.0785393,18505,220,20,Los Angeles County
38.744421,-121.1732264,7361,116,107,Placer County
32.990032,-117.075396,12318,179,251,San Diego County
33.649528,-117.376774,1916,30,467,Riverside County
34.4623278,-118.5566385,4240,2,375,Los Angeles County
33.5410626,-117.1171448,6389,100,393,Riverside County
38.1860098,-122.2601691,2146,32,72,Napa County
37.376828,-122.209796,13215,201,186,San Mateo County
38.800349,-120.503871,63,1,1365,El Dorado County
33.624456,-117.781423,23925,365,170,Orange County
33.787292,-117.320673,476,8,643,Riverside County
39.339264,-121.770785,137,3,24,Butte County
34.36811,-118.489038,6133,78,490,Los Angeles County
38.6765755,-121.8685358,345,6,32,Yolo County
37.2628961,-121.932567,21479,288,64,Santa Clara County
35.617546,-118.452285,27,1,1168,Kern County
34.293338,-118.603118,10415,163,514,Los Angeles County
37.583767,-119.976728,75,2,799,Mariposa County
34.2022646,-118.5363484,21642,301,230,Los Angeles County
38.149816,-120.84667,110,2,209,Calaveras County
33.9870413,-117.8925164,18344,241,170,Los Angeles County
33.8739847,-117.8709131,17620,233,88,Orange County
36.658709,-119.401274,133,3,122,Fresno County
34.18001,-117.773939,4313,68,834,Los Angeles County
38.808264,-122.539952,166,3,396,Lake County
33.828396,-117.20766,1509,8,442,Riverside County
40.51087,-121.876112,21,1,1081,Shasta County
37.171267,-122.149524,247,4,274,Santa Cruz County
33.819545,-117.9601612,20660,250,28,Orange County
39.736308,-122.259338,51,1,84,Glenn County
36.72725,-120.123426,89,2,64,Fresno County
36.825745,-121.518587,148,3,142,San Benito County
37.5232544,-122.2518725,14159,155,-2,San Mateo County
