Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
2048.0,2048.0,32.0,4,2304.0,,0,112.5
12725.0,12725.0,163.0,4,10688.0,,4,83.99214145383104
1298.0,1298.0,19.0,8,1728.0,,0,133.12788906009246
5071.0,5071.0,48.0,3,3264.0,,4,64.36600276079669
452.0,452.0,8.0,1,576.0,,0,127.43362831858407
2159.0,2159.0,34.0,1,2240.0,,1,103.75173691523854
1087.0,1087.0,17.0,1,1152.0,,1,105.97976080956761
1200.0,1200.0,19.0,1,1280.0,,1,106.66666666666667
2694.0,2694.0,43.0,1,2816.0,,1,104.52858203414996
79.0,79.0,2.0,1,192.0,,3,243.03797468354432
2885.0,2885.0,20.0,2,1408.0,,2,48.80415944540728
1273.0,1273.0,8.0,1,576.0,,2,45.247446975648074
10457.0,10457.0,140.0,8,9472.0,,1,90.58047241082528
3099.0,3099.0,47.0,68,7360.0,,3,237.49596644078736
7117.0,7117.0,112.0,10,7808.0,,1,109.70914711254743
14346.0,14346.0,225.0,16,15424.0,,1,107.51428969747666
4043.0,4043.0,26.0,20,2944.0,,4,72.81721493940142
19181.0,19181.0,205.0,20,14400.0,,4,75.0742922683906
901.0,901.0,15.0,10,1600.0,,3,177.58046614872364
5916.0,5916.0,87.0,16,6592.0,,0,111.42663962136578
949.0,949.0,15.0,18,2112.0,,3,222.55005268703897
44.0,44.0,1.0,19,1280.0,,3,2909.090909090909
19108.0,19108.0,283.0,8,18624.0,,1,97.46702951643292
185.0,185.0,3.0,6,576.0,,3,311.35135135135135
19779.0,19779.0,294.0,16,19840.0,,1,100.30840790737652
15.0,15.0,1.0,10,704.0,,3,4693.333333333333
16455.0,16455.0,231.0,12,15552.0,,1,94.5123062898815
1257.0,1257.0,20.0,12,2048.0,,3,162.92760540970565
1881.0,1881.0,30.0,14,2816.0,,0,149.70760233918128
14498.0,14498.0,222.0,20,15488.0,,1,106.82852807283763
506.0,506.0,8.0,10,1152.0,,3,227.66798418972334
102.0,102.0,2.0,8,640.0,,3,627.4509803921569
989.0,989.0,16.0,12,1792.0,,3,181.19312436804853
58.0,58.0,1.0,8,576.0,,3,993.1034482758621
20862.0,20862.0,302.0,4,19584.0,,1,93.87402933563416
12360.0,12360.0,183.0,30,13632.0,,0,110.29126213592232
105.0,105.0,2.0,16,1152.0,,3,1097.142857142857
11923.0,11923.0,182.0,12,12416.0,,1,104.1348653862283
1072.0,1072.0,17.0,12,1856.0,,3,173.13432835820893
201.0,201.0,4.0,10,896.0,,3,445.771144278607
6387.0,6387.0,73.0,16,5696.0,,4,89.18114920933145
1415.0,1415.0,13.0,20,2112.0,,0,149.25795053003534
518.0,518.0,9.0,7,1024.0,,3,197.6833976833977
5944.0,5944.0,68.0,20,5632.0,,1,94.75100942126514
7925.0,7925.0,90.0,46,8704.0,,1,109.82965299684541
526.0,526.0,9.0,4,832.0,,3,158.17490494296578
173.0,173.0,3.0,40,2752.0,,3,1590.7514450867052
53.0,53.0,1.0,21,1408.0,,3,2656.603773584906
4673.0,4673.0,70.0,24,6016.0,,0,128.73956772950993
63.0,63.0,1.0,16,1088.0,,3,1726.984126984127
11832.0,11832.0,185.0,8,12352.0,,1,104.39486139283301
2010.0,2010.0,22.0,20,2688.0,,0,133.7313432835821
2304.0,2304.0,36.0,12,3072.0,,0,133.33333333333331
633.0,633.0,10.0,14,1536.0,,3,242.65402843601896
73.0,73.0,2.0,16,1152.0,,3,1578.0821917808219
14536.0,14536.0,228.0,4,14848.0,,1,102.14639515685195
2700.0,2700.0,7.0,12,1216.0,,2,45.03703703703704
1528.0,1528.0,22.0,12,2176.0,,0,142.40837696335078
75.0,75.0,2.0,4,384.0,,3,512.0
44.0,44.0,1.0,20,1344.0,,3,3054.5454545454545
337.0,337.0,4.0,20,1536.0,,3,455.78635014836794
1611.0,1611.0,26.0,12,2432.0,,3,150.9621353196772
6740.0,6740.0,83.0,8,5824.0,,4,86.40949554896142
319.0,319.0,5.0,24,1856.0,,3,581.8181818181819
1340.0,1340.0,21.0,18,2496.0,,3,186.2686567164179
16.0,16.0,1.0,7,512.0,,3,3200.0
384.0,384.0,6.0,10,1024.0,,3,266.66666666666663
318.0,318.0,1.0,14,960.0,,3,301.8867924528302
3783.0,3783.0,58.0,14,4608.0,,0,121.80808881839809
1670.0,1670.0,27.0,19,2944.0,,3,176.2874251497006
1634.0,1634.0,24.0,49,4672.0,,3,285.9241126070991
1734.0,1734.0,26.0,12,2432.0,,0,140.25374855824683
2874.0,2874.0,45.0,16,3904.0,,0,135.83855254001392
13291.0,13291.0,183.0,7,12160.0,,1,91.49048228124295
1946.0,1946.0,31.0,18,3136.0,,3,161.15107913669064
6312.0,6312.0,93.0,8,6464.0,,1,102.40811153358682
108.0,108.0,2.0,12,896.0,,3,829.6296296296296
310.0,310.0,5.0,6,704.0,,3,227.09677419354838
768.0,768.0,12.0,10,1408.0,,3,183.33333333333331
10897.0,10897.0,142.0,10,9728.0,,4,89.27227677342387
822.0,822.0,3.0,8,704.0,,4,85.64476885644768
583.0,583.0,10.0,11,1344.0,,3,230.53173241852488
31449.0,31449.0,458.0,8,29824.0,,1,94.83290406690197
2574.0,2574.0,41.0,8,3136.0,,0,121.83372183372182
1215.0,1215.0,19.0,16,2240.0,,3,184.3621399176955
1597.0,1597.0,25.0,32,3648.0,,3,228.42830306825297
222.0,222.0,4.0,22,1664.0,,3,749.5495495495495
10159.0,10159.0,145.0,19,10496.0,,1,103.31725563539717
