Station ID,Latitude,Longitude,DC Fast Count,City,ZIP
117736,33.568737,-117.830418,1,Newport Beach,92657
118947,37.928225,-122.514787,10,Corte Madera,94925
118955,34.014763,-118.49364,16,Santa Monica,90401
120806,34.24699,-119.20425,1,Ventura,93003
121088,36.811715,-119.728782,2,Clovis,93612
121399,32.705788,-117.149884,6,San Diego,92101
121625,34.162301,-118.157645,2,Pasadena,91103
121776,38.88232,-121.97246,4,Dunnigan,95937
121788,37.70005,-121.84093,10,Livermore,94551
121826,33.79022,-118.34122,3,Torrance,90505
122057,32.67,-117.11,2,San Diego,92136
122165,33.7429,-118.0893,1,Seal Beach,90740
122193,37.787815,-122.391285,1,San Francisco,94105
122275,34.04753,-118.264429,10,Los Angeles,90015
122295,39.147922,-121.647839,10,Yuba City,95993
122298,37.109356,-121.017599,12,Gustine,95322
122307,37.321909,-121.949106,26,San Jose,95128
122308,37.321457,-121.948941,10,San Jose,95128
122326,33.084093,-117.266324,26,Carlsbad,92009
122331,34.184617,-118.890892,20,Thousand Oaks,91360
122332,34.158348,-118.823613,24,Thousand Oaks,91362
122720,33.89572,-118.00825,3,La Mirada,90638
122744,37.46225,-121.14128,4,Patterson,95363
123230,33.782281,-116.357367,1,Palm Desert,92211
123917,33.926203,-117.416499,1,Riverside,92501
124448,36.80953,-119.84893,3,Fresno,93711
125760,34.18859,-118.32651,10,Burbank,91502
126268,41.77408,-124.18975,4,Crescent City,95531
128243,33.83162,-118.34759,6,Torrance,90503
139501,32.9583,-117.03943,3,Poway,92064
143146,33.698858,-117.740535,1,Irvine,92620
143940,32.76931,-117.16404,3,San Diego,92108
143991,38.404991,-121.403634,3,Elk Grove,95758
143992,38.405281,-121.401539,1,Elk Grove,95758
144238,34.07424,-117.54753,8,Ontario,91764
144241,32.757008,-117.206497,1,San Diego,92110
145207,37.50834,-120.87274,4,Turlock,95380
145228,41.69938,-122.64512,4,Yreka,96097
145372,36.83835,-119.80214,3,Fresno,93650
145442,33.617622,-117.87427,1,Newport Beach,92660
145444,33.617554,-117.87417,1,Newport Beach,92660
145657,34.23076,-118.24909,3,La Crescenta,91214
145681,33.10314,-117.07439,3,Escondido,92025
146616,33.74143,-116.22888,4,Indio,92203
146645,37.41336,-121.898,4,Milpitas,95035
146725,34.063046,-117.321689,1,Colton,92324
146977,35.36755,-119.05085,4,Bakersfield,93309
147007,37.438796,-122.134121,1,Palo Alto,94303
147027,33.73662,-117.91635,3,Santa Ana,92704
147130,33.92341,-118.12801,3,Downey,90242
147371,35.157668,-120.668659,1,Pismo Beach,93499
